symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
FDX,GS,1510,0.5332322021906165,0.5332322021906165,-1.8089387690554548,0.625370141793823,-1.8077255178981528,0.3766329901082882,0.026678653309856415,0.9405005665532854,0.6829871951011207,114.58702219107506,1.1611767019639956,False,True
MS,WMT,1510,0.25084531316340397,0.25084531316340397,-2.0795527608296247,0.48705866824329697,-2.078929014349098,0.25307131636377816,0.7841030764211196,0.8290180046825067,0.5183836180956677,130.68262240758187,1.1600211121244213,False,True
GS,PEP,1510,0.2535560844326878,0.2535560844326878,-2.050688730208437,0.5021493264261305,-2.050010555009773,0.2650844905294366,2.51290950935229,0.5900700330013798,0.3730818464933796,125.40084097437861,1.1293388810314893,False,True
CVX,GS,1510,0.45512515530524483,0.45512515530524483,-1.8387417142010527,0.610720188191858,-1.8381070152269643,0.36171337541782633,1.587280219798652,0.5327153116421931,0.3390794951424275,151.98414377896842,1.1109183104968285,False,True
PEP,TGT,1510,0.20744692135754736,0.20744692135754736,-2.074159920204111,0.48987885560538874,-2.0736566767048594,0.2552384440368062,2.2115300600949266,0.5398137791088395,0.43897177598013426,151.4010551943477,1.1104121382821033,False,True
GS,XOM,1510,0.47338342119037685,0.47338342119037685,-1.817604190732023,0.6211323431105529,-1.8168020061161068,0.3721524452651343,6.237191473081056,-0.2856564072094807,0.011757662764378618,153.15389111603707,1.1094784002054339,False,True
BAC,HD,1510,0.42527675169097556,0.42527675169097556,-1.8559542158261493,0.6021670865718376,-1.855558791403665,0.35324756048105177,-0.9309736818511087,0.7990323433448089,0.741274879492401,172.2235622428932,1.0974805663588456,False,True
MS,V,1510,0.528174208881411,0.528174208881411,-1.7395037492862477,0.6586148224037359,-1.7389276345984659,0.4111755549158402,1.30361121006138,0.4677026243313181,0.5835327056841808,173.40020550956245,1.0955154212043479,False,True
BAC,GS,1510,0.8033635975917951,0.8033635975917951,-1.3104355098094589,0.8265645527046447,-1.3095776279409843,0.6247792253838562,-5.397837650559438,1.6172425653563078,0.7261629434977326,243.22945204549356,1.0903602406783381,False,True
GS,WMT,1510,0.2490345658488998,0.2490345658488998,-2.002653567094003,0.5271984318183363,-2.0020155385083425,0.28569005565403416,3.7043306350950687,0.4409852553948222,0.29955368277764494,135.59547423509355,1.071165332441808,False,True
UPS,XOM,1510,0.4429461382614495,0.4429461382614495,-1.803940221089738,0.6278062370418952,-1.8028702814504984,0.37903761256457913,4.02253149457871,0.0710932089974512,0.0015760053287260378,145.81136524620294,1.0664382044009881,False,True
CVX,LOW,1510,0.29703746478670434,0.29703746478670434,-1.950098409769119,0.5543998482128658,-1.9500538294911895,0.30889262533803963,2.995086444945077,0.31226348256369857,0.3068416923949798,127.57661570542025,1.0634068222322415,False,True
JPM,MS,1510,0.8469665489816027,0.8469665489816027,-1.133928881521441,0.8743637416349338,-1.1330601657523607,0.7017094892170982,0.0744445093444277,1.19716530828177,0.8026663596637038,314.19369829233506,1.0591170595814183,False,True
BAC,LOW,1510,0.4028707558364162,0.4028707558364162,-1.8076294789415979,0.6260088405006701,-1.8071409303733652,0.37692222755966653,-1.0613525129150023,0.9330012363484094,0.6365155206942232,191.40726482493008,1.0300385403976668,False,True
FDX,XOM,1510,0.41829026439052613,0.41829026439052613,-1.7872441150578866,0.635897167195852,-1.7868445139603122,0.38701230941851383,3.40746003780881,0.3511323917072403,0.01371732056704611,203.86591958618604,1.0271785955774029,False,True
LOW,MS,1510,0.44612996732680205,0.44612996732680205,-1.6969672849116708,0.6782886945795618,-1.6963564522212111,0.4329907133342416,1.478718497619902,0.7957070827786936,0.4909630711731833,228.1369824421918,0.9782368070080376,False,True
HD,MS,1510,0.47475514672452124,0.47475514672452124,-1.631939012915395,0.7072224201688031,-1.6313789052655643,0.46676902170231577,1.013814495753253,1.0911491615971654,0.5814396184236262,233.02271742456995,0.9560971013317787,False,True
GS,KO,1510,0.2277780853834891,0.2277780853834891,-1.899029683998021,0.5804989239976533,-1.898405520349333,0.3328115756804204,2.9273821609927575,0.6197366570901018,0.24837649451725075,146.29509539335046,0.9417782430207138,False,True
MS,PEP,1510,0.2701494379833044,0.2701494379833044,-1.8230060575135154,0.618481383615565,-1.8224064273108314,0.36939562520544206,-0.8217036446679256,0.9642246555081391,0.48780953052805054,158.58612593543688,0.9113310584163414,False,True
CVX,XOM,1510,0.7758064745073985,0.7758064745073985,-0.5340358047951381,0.9618183810820152,-0.5327739864256404,0.8854606477161879,0.3099934023869282,0.9949730607865759,0.17043817416241225,825.8593013125767,0.8455441372670135,False,True
CVX,TGT,1510,0.2501749605655956,0.2501749605655956,-1.7694248973479083,0.6444510998606129,-1.7688448756126214,0.39603532447799605,3.2891328147917114,0.2526961856352413,0.12315561178461609,168.35518543700965,0.8432510666782796,False,True
LOW,XOM,1510,0.3314278740443824,0.3314278740443824,-1.6500035061205887,0.6993302794979414,-1.6489374001538606,0.45759466091848305,8.69791708183314,-1.1271877994602728,0.06951280534904647,189.84684551641314,0.8262645927867343,False,True
GS,TGT,1510,0.26055825579980735,0.26055825579980735,-1.7370604063058104,0.6597599215836011,-1.7364895567508762,0.4124167495295959,4.109257310865146,0.24566673258547989,0.09741781041098962,179.07564495626355,0.8258360308410657,False,True
HD,TGT,1510,0.4122115849159611,0.4122115849159611,-1.5303414828167783,0.7493744705146698,-1.5299447309710248,0.5186495494698774,0.2476251679922825,1.1171398428002497,0.4817191802361086,253.26851833290635,0.8226386863547839,False,True
FDX,MA,1510,0.4444328264556663,0.4444328264556663,-1.4487708292762953,0.780307875360291,-1.4470697172006421,0.5595140652443058,3.7357575801355,0.2255074348704947,0.2707603795803101,250.1768332563809,0.8043558279078047,False,True
FDX,UPS,1510,0.6746165940989499,0.6746165940989499,-0.8523537093421383,0.9274674595463118,-0.8513487255425006,0.8035717302089463,-0.15769754418547421,1.1545064184862064,0.47557471483238256,369.6290529511595,0.8022932630964924,False,True
FDX,MS,1510,0.5396418488119525,0.5396418488119525,-1.2416044283212968,0.8466673017280542,-1.2402243858740165,0.6560573878206887,2.6292453570589154,0.6444599883754595,0.6549219393515678,186.7798214791122,0.794987230741475,False,True
MS,XOM,1510,0.4690424057007844,0.4690424057007844,-1.3278086099682944,0.8211867277795346,-1.32692684781258,0.6167650001075222,4.541324785593535,-0.2865413191477472,0.00579301148604805,271.92748053684227,0.7644807635174906,False,True
