zscore_lookback,entry_zscore,exit_zscore,stop_zscore,maximum_holding_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,trade_win_rate,profit_factor,total_turnover
20,1.5,0.0,3.5,20,-0.2402504690086943,-0.044811629501835815,0.11278328327320716,-0.35039075690045945,-0.4281260070121796,-0.4385873864482477,85,0.5647058823529412,0.7557126195313242,171.0
20,1.5,0.0,4.0,20,-0.2402504690086943,-0.044811629501835815,0.11278328327320716,-0.35039075690045945,-0.4281260070121796,-0.4385873864482477,85,0.5647058823529412,0.7557126195313242,171.0
20,2.0,0.25,3.5,20,-0.20988805851549508,-0.03854573623156676,0.09784724821558927,-0.35324926991208183,-0.40158058581024264,-0.31118583189350346,61,0.5245901639344263,0.7215237287050561,122.0
20,2.0,0.25,4.0,20,-0.20988805851549508,-0.03854573623156676,0.09784724821558927,-0.35324926991208183,-0.40158058581024264,-0.31118583189350346,61,0.5245901639344263,0.7215237287050561,122.0
20,2.0,0.5,3.5,40,-0.22657052672240152,-0.0419631495520405,0.0984343385300045,-0.3867526028964604,-0.44417396117357416,-0.33171350035664415,61,0.5737704918032787,0.6798812973121261,122.0
20,2.0,0.5,3.5,60,-0.22657052672240152,-0.0419631495520405,0.0984343385300045,-0.3867526028964604,-0.44417396117357416,-0.33171350035664415,61,0.5737704918032787,0.6798812973121261,122.0
20,2.0,0.5,4.0,40,-0.22657052672240152,-0.0419631495520405,0.0984343385300045,-0.3867526028964604,-0.44417396117357416,-0.33171350035664415,61,0.5737704918032787,0.6798812973121261,122.0
20,2.0,0.5,4.0,60,-0.22657052672240152,-0.0419631495520405,0.0984343385300045,-0.3867526028964604,-0.44417396117357416,-0.33171350035664415,61,0.5737704918032787,0.6798812973121261,122.0
20,1.5,0.25,3.5,40,-0.26621355597965657,-0.05033734668349288,0.11257203057953934,-0.4028126820655717,-0.4854335701386064,-0.42288444966640737,80,0.5375,0.6920710893717201,161.0
20,1.5,0.25,3.5,60,-0.26621355597965657,-0.05033734668349288,0.11257203057953934,-0.4028126820655717,-0.4854335701386064,-0.42288444966640737,80,0.5375,0.6920710893717201,161.0
20,1.5,0.25,4.0,40,-0.26621355597965657,-0.05033734668349288,0.11257203057953934,-0.4028126820655717,-0.4854335701386064,-0.42288444966640737,80,0.5375,0.6920710893717201,161.0
20,1.5,0.25,4.0,60,-0.26621355597965657,-0.05033734668349288,0.11257203057953934,-0.4028126820655717,-0.4854335701386064,-0.42288444966640737,80,0.5375,0.6920710893717201,161.0
20,2.0,0.5,3.5,20,-0.2284820565738256,-0.04235863874473689,0.09588144867465008,-0.4039093172325162,-0.4482013107305412,-0.32027119161502404,63,0.5714285714285714,0.6906666570541969,126.0
20,2.0,0.5,4.0,20,-0.2284820565738256,-0.04235863874473689,0.09588144867465008,-0.4039093172325162,-0.4482013107305412,-0.32027119161502404,63,0.5714285714285714,0.6906666570541969,126.0
20,1.5,0.25,3.5,20,-0.2802004577050916,-0.05338202139065695,0.11040479255919182,-0.44197758875755094,-0.5222402586156667,-0.4410218914456041,87,0.5402298850574713,0.7026098317404963,175.0
